time:s,CH1:W,Average
10.93,0.456,0.344
10.94,0.248,0.3224
10.95,0.456,0.3432
10.96,0.24,0.3424
10.97,0.456,0.3416
10.98,0.232,0.3416
10.99,0.448,0.3432
11,0.24,0.3232
11.01,0.456,0.3456
11.02,0.208,0.3232
11.03,0.24,0.3472
11.04,0.456,0.3464
11.05,0.448,0.3456
11.06,0.232,0.3256
11.07,0.456,0.3472
11.08,0.248,0.3256
11.09,0.248,0.3464
11.1,0.464,0.3672
11.11,0.232,0.3448
11.12,0.448,0.3664
11.13,0.232,0.344
11.14,0.448,0.3448
11.15,0.248,0.3456
11.16,0.448,0.3664
11.17,0.24,0.3448
11.18,0.456,0.3664
11.19,0.456,0.344
11.2,0.24,0.344
11.21,0.448,0.3432
11.22,0.224,0.3232
11.23,0.24,0.3464
11.24,0.456,0.3672
11.25,0.456,0.344
11.26,0.232,0.3216
11.27,0.456,0.344
11.28,0.232,0.344
11.29,0.456,0.344
11.3,0.232,0.344
11.31,0.248,0.3432
11.32,0.456,0.3432
11.33,0.448,0.3432
11.34,0.224,0.344
11.35,0.232,0.3448
11.36,0.456,0.3672
11.37,0.456,0.3456
11.38,0.232,0.3448
11.39,0.456,0.3424
11.4,0.224,0.3424
11.41,0.248,0.344
11.42,0.456,0.3648
11.43,0.456,0.3424
11.44,0.232,0.3424
11.45,0.456,0.3448
11.46,0.24,0.3448
11.47,0.448,0.3432
11.48,0.208,0.3216
11.49,0.456,0.3464
11.5,0.24,0.324
11.51,0.456,0.3456
11.52,0.232,0.3232
11.53,0.456,0.3456
11.54,0.256,0.3456
11.55,0.456,0.3432
11.56,0.224,0.3208
11.57,0.232,0.344
11.58,0.456,0.3664
11.59,0.232,0.3416
11.6,0.456,0.3728
11.61,0.232,0.3512
11.62,0.456,0.3528
11.63,0.456,0.3528
11.64,0.232,0.3304
11.65,0.232,0.3528
11.66,0.456,0.376
11.67,0.456,0.3512
11.68,0.208,0.3504
11.69,0.544,0.3544
11.7,0.24,0.3448
11.71,0.248,0.3456
11.72,0.456,0.3664
11.73,0.232,0.344
11.74,0.456,0.344
11.75,0.464,0.344
11.76,0.208,0.3432
11.77,0.448,0.3424
11.78,0.248,0.3432
11.79,0.448,0.3408
11.8,0.248,0.3192
11.81,0.456,0.34
11.82,0.232,0.3408
11.83,0.232,0.3408
11.84,0.456,0.3632
11.85,0.456,0.3416
11.86,0.2,0.3416
11.87,0.456,0.3448
11.88,0.224,0.344
11.89,0.232,0.3448
11.9,0.456,0.3672
11.91,0.464,
11.92,0.232,
11.93,0.456,
11.94,0.24,
11.95,0.456,
11.96,0.232,
11.97,0.448,
11.98,0.232,
11.99,0.456,
12,0.232,
